6,44,13064.625
6,52,13064.625
44,17,13064.625
18,5,13064.625
18,38,13064.625
5,40,13064.625
37,7,13064.625
37,46,13064.625
7,22,13064.625
41,9,13064.625
41,53,13064.625
9,16,13064.625
55,2,13064.625
55,50,13064.625
2,27,13064.625
42,25,13064.625
42,48,13064.625
25,23,13064.625
15,21,13064.625
15,60,13064.625
21,28,13064.625
56,62,13064.625
56,4,13064.625
62,3,13064.625
24,45,13064.625
24,12,13064.625
45,47,13064.625
13,19,13064.625
13,20,13064.625
19,43,13064.625
34,39,13064.625
34,58,13064.625
39,63,13064.625
54,51,13064.625
54,35,13064.625
51,61,13064.625
59,0,13064.625
59,26,13064.625
0,29,13064.625
36,31,13064.625
36,10,13064.625
31,33,13064.625
57,1,13064.625
57,30,13064.625
1,11,13064.625
14,32,13064.625
14,49,13064.625
32,8,13064.625
64,6,70403.8125
65,52,57339.1875
66,44,57339.1875
67,17,57339.1875
68,18,70403.8125
69,38,57339.1875
70,5,57339.1875
71,40,57339.1875
64,37,70403.8125
65,46,57339.1875
66,7,57339.1875
67,22,57339.1875
68,41,70403.8125
69,53,57339.1875
70,9,57339.1875
71,16,57339.1875
64,55,70403.8125
65,50,57339.1875
66,2,57339.1875
67,27,57339.1875
68,42,70403.8125
69,48,57339.1875
70,25,57339.1875
71,23,57339.1875
64,15,70403.8125
65,60,57339.1875
66,21,57339.1875
67,28,57339.1875
68,56,70403.8125
69,4,57339.1875
70,62,57339.1875
71,3,57339.1875
64,24,70403.8125
65,12,57339.1875
66,45,57339.1875
67,47,57339.1875
68,13,70403.8125
69,20,57339.1875
70,19,57339.1875
71,43,57339.1875
64,34,70403.8125
65,58,57339.1875
66,39,57339.1875
67,63,57339.1875
68,54,70403.8125
69,35,57339.1875
70,51,57339.1875
71,61,57339.1875
64,59,70403.8125
65,26,57339.1875
66,0,57339.1875
67,29,57339.1875
68,36,70403.8125
69,10,57339.1875
70,31,57339.1875
71,33,57339.1875
64,57,70403.8125
65,30,57339.1875
66,1,57339.1875
67,11,57339.1875
68,14,70403.8125
69,49,57339.1875
70,32,57339.1875
71,8,57339.1875
6,64,148.125
52,65,148.125
44,66,148.125
17,67,148.125
18,68,148.125
38,69,148.125
5,70,148.125
40,71,148.125
37,64,148.125
46,65,148.125
7,66,148.125
22,67,148.125
41,68,148.125
53,69,148.125
9,70,148.125
16,71,148.125
55,64,148.125
50,65,148.125
2,66,148.125
27,67,148.125
42,68,148.125
48,69,148.125
25,70,148.125
23,71,148.125
15,64,148.125
60,65,148.125
21,66,148.125
28,67,148.125
56,68,148.125
4,69,148.125
62,70,148.125
3,71,148.125
24,64,148.125
12,65,148.125
45,66,148.125
47,67,148.125
13,68,148.125
20,69,148.125
19,70,148.125
43,71,148.125
34,64,148.125
58,65,148.125
39,66,148.125
63,67,148.125
54,68,148.125
35,69,148.125
51,70,148.125
61,71,148.125
59,64,148.125
26,65,148.125
0,66,148.125
29,67,148.125
36,68,148.125
10,69,148.125
31,70,148.125
33,71,148.125
57,64,148.125
30,65,148.125
1,66,148.125
11,67,148.125
14,68,148.125
49,69,148.125
32,70,148.125
8,71,148.125
